,pt_BR,en
fenico_1,"olá, rei, sou eu [color=red]Fenico","hello, king, its me [color=red]Fenico"
fenico_2,[shake]oi? o que? rei?!?![/shake],what... hey? king?!?!
fenico_3,"sim, rei, sou eu, o seu sublord leal, eu apenas consegui pegar um unico fragmento de sua alma","yeah, king, its me, your loyal sublord, I only could get one fragment of your soul"
fenico_4,[shake radius = 10 freq = 4] O QUE? [/shake] como assim? rei? meu nome é... [wave]é...[/wave] Lodrofo?,"[shake radius = 10 freq = 4] WHAT? [/shake] I dont get it, king? my name is... [wave]is...[/wave] Lodrofo?"
fenico_5,"sim! Rei Lodrofo, você lembrou de seu nome, acho que você não lembra de nada, ja que você so tem apenas um fragmento de sua alma, então eu te conto o que aconteceu","yes! King Lodrofo, you remembered your name, I think you don't remember nothing, since that you only have one fragment of your soul, so I'll tell you what happened"
fenico_6,"os Sublords, eles te trairam, mas alguns deles, como eu, permanecemos leais a você","the Sublords, they betrayed you, but some of then, like me, remained loyal to you"
fenico_7,como irei recuperar o resto da minha alma?,how am I going to recover the rest of my soul?
fenico_8,"tudo que sei é que os Sublords  guardaram os fragmentos em varias dimensões, e essas dimensões estão espalhadas no reino","everthing I know is that the sublords stored the fragments in various dimensions, such as are scattered throughout the kingdom"
fenico_9,por que eles não... só destruiram?,why didn't they... just destroyed them?
fenico_10,"não é possivel destrui-las, por causa disso, eles guardaram elas nas dimensões","is not possible to destroy them, because of that, they stored in the dimensions"
fenico_11,"e eu não posso ajudar você nas dimensões, é necessario ser ágil para pegar os fragmentos, e você é um [color=grey]rob^[/color] agora, então você pode morrer o quanto quiser","and I can't help you in the dimensios, is need to be agile to get the fragments, you are a [color=grey]robot[/color] now, you can die whatever you want"
fenico_12,então... eu vou tentar recuperar os fragmentos por minha conta,so... I will try to recover the fragments by myself
fenico_13,"boa sorte, meu rei Lodrofo","good luck, my king Lodrofo"